,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare
2484,90000,55.0,2,1636.36,Nicolina-CUG,Clasic (1977-2000),Decomandat
2494,119000,48.0,2,2479.17,Nicolina-CUG,Nou (Post-2000),Nespecificat
2496,121500,78.0,3,1557.69,Galata-Frumoasa,Clasic (1977-2000),Decomandat
2502,59500,30.0,1,1983.33,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat
2505,99000,58.0,3,1706.9,Pacurari-Canta,Clasic (1977-2000),Decomandat
2511,135000,69.03,3,1955.67,Pacurari-Canta,Vechi (Pre-1977),Nespecificat
2512,117900,53.0,2,2224.53,Centru-Civic,Nou (Post-2000),Nespecificat
2528,111760,56.0,2,1995.71,Copou-Saras,Clasic (1977-2000),Nespecificat
2544,87000,55.0,2,1581.82,Nicolina-CUG,Clasic (1977-2000),Decomandat
2547,113900,53.0,2,2149.06,Bucium,Nou (Post-2000),Nespecificat
2555,83000,55.0,2,1509.09,Galata-Frumoasa,Clasic (1977-2000),Decomandat
2561,100000,51.0,2,1960.78,Tatarasi-Tudor,Vechi (Pre-1977),Semidecomandat
2563,159900,65.0,3,2460.0,Nicolina-CUG,Nou (Post-2000),Decomandat
2565,139900,60.0,3,2331.67,Pacurari-Canta,Clasic (1977-2000),Nespecificat
2567,64990,35.0,1,1856.86,Galata-Frumoasa,Nou (Post-2000),Decomandat
2575,67000,39.0,1,1717.95,Nicolina-CUG,Clasic (1977-2000),Decomandat
2577,155737,91.61,3,1700.0,Nicolina-CUG,Vechi (Pre-1977),Nespecificat
2579,109990,80.0,3,1374.88,Nicolina-CUG,Clasic (1977-2000),Decomandat
2582,112990,67.0,3,1686.42,Nicolina-CUG,Clasic (1977-2000),Decomandat
2588,122400,50.0,2,2448.0,Copou-Saras,Nou (Post-2000),Decomandat
2596,139500,71.6,3,1948.32,Nicolina-CUG,Clasic (1977-2000),Decomandat
2600,97000,52.0,2,1865.38,Nicolina-CUG,Clasic (1977-2000),Decomandat
2616,132000,73.0,3,1808.22,Nicolina-CUG,Clasic (1977-2000),Decomandat
2641,112500,57.0,2,1973.68,Tatarasi-Tudor,Vechi (Pre-1977),Semidecomandat
2643,78500,50.0,2,1570.0,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat
2645,82000,42.0,2,1952.38,Pacurari-Canta,Vechi (Pre-1977),Semidecomandat
2648,75900,42.0,2,1807.14,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
2649,96900,56.0,3,1730.36,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
2650,116990,59.0,2,1982.88,Nicolina-CUG,Clasic (1977-2000),Decomandat
