,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare,Tip_Zona
396,136900,56.0,2,2444.64,Centru-Civic,Clasic (1977-2000),Nespecificat,Premium
399,105000,53.0,2,1981.13,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
401,129000,72.0,3,1791.67,Pacurari-Canta,Clasic (1977-2000),Decomandat,Standard/Urban
407,92000,65.0,3,1415.38,Tatarasi-Tudor,Clasic (1977-2000),Decomandat,Standard/Urban
410,69999,38.0,1,1842.08,Centru-Civic,Nou (Post-2000),Nespecificat,Premium
428,105000,42.0,2,2500.0,Nicolina-CUG,Nou (Post-2000),Semidecomandat,Accesibil/Rezidential
439,125000,55.0,2,2272.73,Tatarasi-Tudor,Clasic (1977-2000),Decomandat,Standard/Urban
442,123000,52.0,2,2365.38,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
446,109000,64.0,2,1703.12,Copou-Saras,Nou (Post-2000),Nespecificat,Premium
448,105000,80.0,3,1312.5,Centru-Civic,Nou (Post-2000),Decomandat,Premium
452,74155,43.61,1,1700.41,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
453,91000,56.0,2,1625.0,Tatarasi-Tudor,Nou (Post-2000),Decomandat,Standard/Urban
456,106000,58.0,2,1827.59,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
459,113000,63.0,3,1793.65,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
461,99900,45.0,2,2220.0,Alexandru-Dacia,Clasic (1977-2000),Decomandat,Standard/Urban
470,80500,40.0,2,2012.5,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
473,129900,59.0,3,2201.69,Pacurari-Canta,Nou (Post-2000),Nespecificat,Standard/Urban
480,123000,49.0,2,2510.2,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
483,122900,62.0,2,1982.26,Centru-Civic,Clasic (1977-2000),Nespecificat,Premium
488,124000,55.0,2,2254.55,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
489,120000,56.0,2,2142.86,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
491,94000,53.0,2,1773.58,Podu-Ros-Cantemir,Vechi (Pre-1977),Nespecificat,Standard/Urban
494,64900,29.0,1,2237.93,Centru-Civic,Nou (Post-2000),Nespecificat,Premium
501,48000,30.0,1,1600.0,Tatarasi-Tudor,Clasic (1977-2000),Decomandat,Standard/Urban
502,48000,30.0,1,1600.0,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
504,123000,52.0,2,2365.38,Centru-Civic,Nou (Post-2000),Decomandat,Premium
505,120000,64.0,3,1875.0,Pacurari-Canta,Clasic (1977-2000),Decomandat,Standard/Urban
508,100000,45.0,2,2222.22,Galata-Frumoasa,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
525,63000,37.0,2,1702.7,Alexandru-Dacia,Clasic (1977-2000),Semidecomandat,Standard/Urban
526,65000,42.0,2,1547.62,Podu-Ros-Cantemir,Clasic (1977-2000),Decomandat,Standard/Urban
542,98900,50.0,2,1978.0,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
545,139000,79.0,3,1759.49,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
548,65000,38.0,2,1710.53,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat,Standard/Urban
561,68500,30.0,2,2283.33,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat,Standard/Urban
563,58000,35.0,1,1657.14,Podu-Ros-Cantemir,Clasic (1977-2000),Decomandat,Standard/Urban
564,66500,36.0,1,1847.22,Pacurari-Canta,Clasic (1977-2000),Decomandat,Standard/Urban
567,62000,50.0,2,1240.0,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
576,62000,34.0,2,1823.53,Alexandru-Dacia,Clasic (1977-2000),Decomandat,Standard/Urban
580,91000,46.0,2,1978.26,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
591,118000,54.0,2,2185.19,Tatarasi-Tudor,Clasic (1977-2000),Decomandat,Standard/Urban
597,100000,51.0,2,1960.78,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat,Standard/Urban
601,124000,62.0,2,2000.0,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
602,155000,80.0,3,1937.5,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
603,112990,60.0,3,1883.17,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
605,56000,33.0,1,1696.97,Galata-Frumoasa,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
614,83000,45.83,2,1811.04,Bucium,Nou (Post-2000),Nespecificat,Periferie
